PERIODO,PROVINCIA,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN,ORDEN
2014,MORROPON,157123,91067,66056,5.43,18636.6,7987.11,26623.72,126
2014,MOYOBAMBA,144216,85872,58344,3.73,18049.86,7735.66,25785.53,127
2014,NASCA  ,58805,51853,6952,2.21,8226.27,3525.55,11751.81,128
2014,OCROS,10628,6155,4473,4.52,1013.85,434.5,1448.36,129
2014,OTUZCO,91913,22223,69690,4.52,3737.75,1601.89,5339.61,130
2014,OXAPAMPA,91979,33524,58455,5.2,8893.39,3811.45,12704.84,131
2014,OYON,22593,14580,8013,2.88,3063.4,1312.88,4376.3,132
2014,PACASMAYO,103331,95888,7443,2.37,16221.88,6952.23,23174.12,133
2014,PACHITEA,72071,9686,62385,2.13,2008.8,860.92,2869.73,134
2014,PADRE ABAD,58492,29602,28890,1.65,5776,2475.44,8251.42,135
2014,PAITA,127496,122479,5017,3.04,22111.68,9476.42,31588.11,136
2014,PALLASCA,30565,15845,14720,4.95,2598.46,1113.64,3712.11,137
2014,PALPA,12394,8297,4097,2.25,1360.69,583.15,1943.85,138
2014,PARINACOCHAS,32838,18206,14632,3.54,2758.16,1182.07,3940.22,139
2014,PARURO,30847,10337,20510,4.05,1695.14,726.49,2421.65,140
2014,PASCO,156981,117192,39789,4.98,16160.96,6926.1,23087.09,141
2014,PATAZ,87268,23400,63868,5.84,3804.8,1630.64,5435.46,142
2014,PAUCAR DEL SARA SARA,11004,7289,3715,4.25,1003.68,430.16,1433.84,143
2014,PAUCARTAMBO,50828,9430,41398,2.86,1656.71,710.01,2366.74,144
2014,PICOTA,43823,26221,17602,6.22,6118.15,2622.06,8740.2,145
2014,PISCO,134841,117500,17341,4.62,23407.57,10031.82,33439.42,146
2014,PIURA,755478,648047,107431,4.89,111592.78,47825.47,159418.23,147
2014,POMABAMBA,29322,6536,22786,1.87,1197.6,513.26,1710.87,148
2014,PUERTO INCA,31649,6040,25609,2.96,1256.52,538.51,1795.03,149
2014,PUNO,247151,150843,96308,6.83,28677.71,12290.46,40968.18,150
2014,PURUS,4405,1471,2934,0.61,326.89,140.09,466.98,151
2014,PUTUMAYO ,4232,3182,1050,0.61,707,303,1010,152
2014,PUTUMAYO   ,7421,1209,6212,0.61,145.08,62.18,207.26,153
2014,QUISPICANCHI,89359,30738,58621,5.29,4979.82,2134.19,7114.02,154
2014,RECUAY,19406,10939,8467,4.32,1608.34,689.28,2297.62,155
2014,REQUENA,73632,42443,31189,6.63,7958.64,3410.85,11369.48,156
2014,RIOJA,125715,88703,37012,5.25,18293.76,7840.18,26133.95,157
2014,RODRIGUEZ DE MENDOZA,30886,9326,21560,7.32,2072.5,888.22,2960.69,158
2014,SAN ANTONIO DE PUTINA,66836,45786,21050,2.48,9313.88,3991.67,13305.55,159
2014,SAN IGNACIO,147465,23105,124360,4.08,5073.61,2174.41,7248.02,160
2014,SAN MARCOS,54565,12534,42031,3.18,2163.85,927.36,3091.22,161
2014,SAN MARTIN,184662,168066,16596,8.52,37344.19,16004.65,53348.84,162
2014,SAN MIGUEL,56349,9136,47213,5.88,1515.3,649.41,2164.72,163
2014,SAN PABLO,23503,3675,19828,1.81,615.43,263.76,879.19,164
2014,SAN ROMAN,287823,266381,21442,2.01,63869.84,27372.79,91242.64,165
2014,SANCHEZ CARRION,152720,42191,110529,3.74,7937.14,3401.64,11338.8,166
2014,SANDIA,69777,18589,51188,5.26,3638.18,1559.21,5197.39,167
2014,SANTA,434646,408318,26328,4.44,68011.57,29147.83,97159.39,168
2014,SANTA CRUZ,45486,10093,35393,4.95,1655.31,709.4,2364.71,169
2014,SANTIAGO DE CHUCO,61441,21147,40294,4.24,5028.53,2155.08,7183.61,170
2014,SATIPO,264455,71692,192763,4.37,12067.91,5171.97,17239.9,171
2014,SECHURA,73617,69300,4317,2.51,11922.08,5109.47,17031.54,172
2014,SIHUAS,30694,8009,22685,4.5,1313.35,562.88,1876.21,173
2014,SUCRE,12082,7351,4731,4.95,1205.39,516.61,1721.99,174
2014,SULLANA,314836,284205,30631,4.08,58774.66,25189.14,83963.8,175
2014,TACNA,312311,297571,14740,4.75,50126.42,21482.76,71609.16,176
2014,TAHUAMANU,13457,9560,3897,1.82,2102.19,900.93,3003.12,177
2014,TALARA,132878,130282,2596,2.72,24468.57,10486.54,34955.12,178
2014,TAMBOPATA,96938,81537,15401,2.19,11405.3,4887.98,16293.3,179
2014,TARATA,7828,6035,1793,3.63,996.05,426.87,1422.91,180
2014,TARMA,109227,69882,39345,4.23,12470.54,5344.52,17815.06,181
2014,TAYACAJA,107745,27691,80054,7.15,4477.02,1918.73,6395.73,182
2014,TOCACHE,72690,35663,37027,2.77,7070.69,3030.3,10100.98,183
2014,TRUJILLO,942729,921452,21277,5.52,177248.82,75963.76,253212.58,184
2014,TUMBES,162879,150576,12303,2.68,22487.56,9637.53,32125.08,185
2014,UCAYALI,72726,39663,33063,3.45,7479.45,3205.49,10684.94,186
2014,URUBAMBA,64041,32552,31489,3.27,5764.69,2470.57,8235.28,187
2014,UTCUBAMBA,118714,51865,66849,3.69,10700.59,4585.98,15286.55,188
2014,VICTOR FAJARDO,23662,17523,6139,5.4,2873.45,1231.49,4104.92,189
2014,VILCAS HUAMAN,23282,7172,16110,4.03,1640.01,702.86,2342.87,190
2014,VIRU,111559,85981,25578,1.3,13939.8,5974.21,19914,191
2014,YAROWILCA,33406,8392,25014,3.6,1376.03,589.71,1965.76,192
2014,YAULI,43384,37596,5788,4.47,5527.63,2368.98,7896.6,193
2014,YAUYOS,27588,15850,11738,14.81,2564.01,1098.84,3662.88,194
2014,YUNGAY,58457,14032,44425,3.51,2208.06,946.32,3154.37,195
2014,YUNGUYO,47658,17585,30073,3.22,3200.76,1371.75,4572.52,196
2014,ZARUMILLA,52092,47161,4931,2.1,9940.66,4260.28,14200.96,197
2015,ABANCAY,106214,67836,38378,4.06,11408.45,4889.33,16297.77,198
2015,ACOBAMBA,78634,23499,55135,3.46,3651.88,1565.08,5216.97,199
2015,ACOMAYO,27693,14556,13137,2.95,2188.48,937.91,3126.36,200
2015,AIJA,7789,2458,5331,2.1,366.71,157.17,523.9,201
2015,ALTO AMAZONAS,120221,71247,48974,4.04,17210.26,7375.83,24586.09,202
2015,AMBO,57239,19131,38108,3.39,3024.4,1296.17,4320.58,203
2015,ANDAHUAYLAS,168056,78468,89588,9.33,14221.18,6094.78,20315.96,204
2015,ANGARAES,63255,17234,46021,5.14,2646.59,1134.25,3780.83,205
2015,ANTA,56302,20002,36300,3.63,3205.21,1373.67,4578.89,206
2015,ANTABAMBA,13397,9369,4028,2.91,1391.56,596.38,1987.97,207
2015,ANTONIO RAYMONDI,16401,4202,12199,2.55,639.24,273.96,913.2,208
2015,AREQUIPA,969284,943879,25405,13.17,165986.67,71137.13,237123.86,209
2015,ASCOPE,120311,105795,14516,3.86,20241.07,8674.75,28915.78,210
2015,ASUNCIÃ“N,8795,2366,6429,0.86,369.59,158.4,527.98,211
2015,ATALAYA,53819,19277,34542,2.32,4252.73,1822.59,6075.31,212
2015,AYABACA,140757,15864,124893,4.55,2395.84,1026.79,3422.62,213
2015,AYMARAES,32995,14045,18950,7.64,2354.98,1009.28,3364.28,214
2015,AZANGARO,136819,38085,98734,6.05,5976.21,2561.22,8537.42,215
2015,BAGUA,76921,35964,40957,3.49,7206.12,3088.32,10294.46,216
2015,BARRANCA,146241,124610,21631,2.83,25679.83,11005.64,36685.46,217
2015,BELLAVISTA,58954,29412,29542,3.3,5995.84,2569.64,8565.48,218
2015,BOLIVAR,16575,5656,10919,2.58,883.43,378.62,1262.05,219
2015,BOLOGNESI,32873,21140,11733,6.1,2695.83,1155.37,3851.18,220
2015,BONGARA,33920,19837,14083,7.1,4153.81,1780.22,5934.02,221
2015,CAJABAMBA,80261,19675,60586,1.59,2435.12,1043.62,3478.73,222
2015,CAJAMARCA,388140,224637,163503,5.4,44945.08,19262.18,64207.26,223
2015,CAJATAMBO,7828,4421,3407,2.15,690.75,296.03,986.8,224
2015,CALCA,74195,26518,47677,3.66,4426.11,1896.9,6322.98,225
2015,CALLAO,1013935,1013935,0,4.36,241205.15,103373.64,344578.78,226
2015,CAMANA,58952,48169,10783,4.09,9948.94,4263.82,14212.8,227
2015,CANAS,39293,6269,33024,3.53,1059.28,453.97,1513.24,228
2015,CANCHIS,102151,62159,39992,3.31,11760.9,5040.39,16801.3,229
2015,CANDARAVE,8095,5280,2815,2.54,811.3,347.7,1158.99,230
2015,CANGALLO,33786,11835,21951,2.42,1722.18,738.08,2460.25,231
2015,CANTA,15122,6330,8792,2.97,1052.57,451.12,1503.68,232
2015,CARABAYA,95390,37970,57420,4.57,6288.75,2695.19,8983.94,233
2015,CARAVELI,40904,24865,16039,5.51,3833.83,1643.07,5476.91,234
2015,CARHUAZ,47097,16039,31058,4.78,2672.59,1145.4,3817.98,235
2015,CARLOS FERMIN FITZCARRALD,21831,3485,18346,1.06,497.2,213.08,710.27,236
2015,CASMA,47478,33266,14212,1.86,5660.99,2426.13,8087.12,237
2015,CASTILLA,38670,22456,16214,5.65,2872.33,1231.01,4103.32,238
2015,CASTROVIRREYNA,19169,5959,13210,5.59,931.76,399.31,1331.1,239
2015,CAYLLOMA,94220,62384,31836,8.62,10884.66,4664.84,15549.52,240
2015,CAÃ‘ETE,233151,195337,37814,7.23,32717.41,14021.75,46739.13,241
2015,CELENDIN,95652,24696,70956,5.04,3038.04,1302.03,4340.09,242
2015,CHACHAPOYAS,55201,39491,15710,10.83,6812.41,2919.61,9731.98,243
2015,CHANCHAMAYO,204035,113880,90155,3.31,22856.87,9795.79,32652.66,244
2015,CHEPEN,87011,70441,16570,1.58,13494.19,5783.21,19277.4,245
2015,CHICLAYO,857405,803899,53506,11.49,170498.7,73070.86,243569.51,246
2015,CHINCHA,217683,194086,23597,4.67,31331.63,13427.84,44759.49,247
2015,CHINCHEROS,58682,19447,39235,4.12,2899.8,1242.76,4142.55,248
2015,CHOTA,164714,33469,131245,8.47,5260.01,2254.32,7514.28,249
2015,CHUCUITO,150239,46286,103953,2.64,6237.75,2673.32,8911.08,250
2015,CHUMBIVILCAS,82411,18999,63412,3.4,2725.67,1168.15,3893.84,251
2015,CHUPACA,53080,32328,20752,3.8,5634.45,2414.76,8049.21,252
2015,CHURCAMPA,44582,10318,34264,4.88,1760.38,754.46,2514.84,253
2015,CONCEPCION,56495,30055,26440,6.13,4601.06,1971.89,6572.93,254
2015,CONDESUYOS,17943,6899,11044,3.6,1215.63,520.98,1736.62,255
2015,CONDORCANQUI,54949,8232,46717,1.73,1724.18,738.94,2463.11,256
2015,CONTRALMIRANTE VILLAR,19896,15936,3960,1.17,2023.77,867.33,2891.11,257
2015,CONTUMAZA,31912,13448,18464,3.42,1892.06,810.87,2702.93,258
2015,CORONEL PORTILLO,377875,319569,58306,4.46,76580.79,32820.34,109401.13,259
2015,CORONGO,8165,3970,4195,3.01,620.15,265.77,885.92,260
2015,COTABAMBAS,52766,13988,38778,2.57,2174.87,932.09,3106.96,261
2015,CUSCO,450095,427443,22652,4.01,88863.75,38084.47,126948.21,262
2015,CUTERVO,140633,27710,112923,6.95,6499.86,2785.66,9285.52,263
2015,DANIEL ALCIDES CARRION,53647,30666,22981,2.94,3953.55,1694.38,5647.93,264
2015,DATEM DEL MARAÃ‘ON,64060,16861,47199,3.48,3557.13,1524.49,5081.63,265
2015,DOS DE MAYO,53324,18510,34814,4.15,3300.62,1414.55,4715.19,266
2015,EL COLLAO,85080,27030,58050,2.08,4126.25,1768.39,5894.64,267
2015,EL DORADO,40349,13380,26969,2.86,2722.79,1166.91,3889.69,268
2015,ESPINAR,69146,31575,37571,3.53,6849.58,2935.53,9785.11,269
2015,FERREÃ‘AFE,106600,56739,49861,3.3,12963.64,5555.87,18519.49,270
2015,GENERAL SANCHEZ CERRO,28333,12514,15819,4.42,1772.35,759.58,2531.91,271
2015,GRAN CHIMU,31109,6588,24521,1.77,1089.2,466.81,1556.02,272
2015,GRAU,26720,10793,15927,5.82,1500.29,642.99,2143.29,273
2015,HUACAYBAMBA,22843,4127,18716,1.6,552.24,236.68,788.93,274
2015,HUALGAYOC,102328,23581,78747,1.33,4276.14,1832.63,6108.76,275
2015,HUALLAGA,25328,13605,11723,3.57,3091.37,1324.87,4416.25,276
2015,HUAMALIES,75505,20355,55150,5.03,3692.01,1582.3,5274.29,277
2015,HUAMANGA,277224,210018,67206,7.75,48540.86,20803.23,69344.13,278
2015,HUANCA SANCOS,10339,7011,3328,1.58,967.49,414.63,1382.12,279
2015,HUANCABAMBA,126683,15405,111278,3.68,2721.71,1166.45,3888.15,280
2015,HUANCANE,64826,13186,51640,3.17,1575.29,675.14,2250.4,281
2015,HUANCAVELICA,158594,66222,92372,8.86,12589.26,5395.41,17984.7,282
2015,HUANCAYO,503139,449441,53698,12.01,91151.48,39064.94,130216.42,283
2015,HUANTA,108553,49265,59288,5.26,9273.31,3974.28,13247.56,284
2015,HUANUCO,309545,188470,121075,5.43,29446.81,12620.06,42066.86,285
2015,HUARAL,190501,158078,32423,4.53,28059.5,12025.5,40085,286
2015,HUARAZ,166625,125306,41319,5.28,26565.67,11385.28,37950.93,287
2015,HUARI,63057,22460,40597,6.84,3534.42,1514.74,5049.13,288
2015,HUARMEY,30744,23546,7198,2.65,6287.11,2694.47,8981.58,289
2015,HUAROCHIRI,81696,55694,26002,14.54,9412.92,4034.1,13447.06,290
2015,HUAURA,219059,189317,29742,5.82,37112.01,15905.15,53017.17,291
2015,HUAYLAS,56428,18732,37696,4.56,4343.16,1861.35,6204.5,292
2015,HUAYTARA,23021,6427,16594,6.78,976.48,418.5,1395,293
2015,ICA,362693,331076,31617,6.3,63966.41,27414.17,91380.57,294
2015,ILO,70694,69861,833,1.29,9996.93,4284.4,14281.33,295
2015,ISLAY,52630,47909,4721,2.92,8489.16,3638.22,12127.36,296
2015,JAEN,199000,104116,94884,6.31,23770.28,10187.27,33957.55,297
2015,JAUJA,83796,58546,25250,13.26,8414.03,3606,12020.05,298
2015,JORGE BASADRE,9034,5322,3712,1.2,720.98,308.99,1029.97,299
2015,JULCAN,31090,4493,26597,1.63,616.87,264.37,881.24,300
2015,JUNIN,25482,18091,7391,1.37,1845.97,791.13,2637.1,301
2015,LA CONVENCION,179845,55664,124181,7.8,16196.61,6941.4,23138.01,302
2015,LA MAR,87932,36098,51834,4.71,6395.34,2740.85,9136.19,303
2015,LA UNION,14602,7047,7555,4.73,1100.97,471.84,1572.82,304
2015,LAMAS,84921,39726,45195,6.46,8712.12,3733.76,12445.88,305
2015,LAMBAYEQUE,296645,146192,150453,5.49,26311.76,11276.48,37588.25,306
2015,LAMPA,51528,19814,31714,4.04,2787.83,1194.79,3982.61,307
2015,LAURICOCHA,38667,8941,29726,2.85,1311.28,561.98,1873.28,308
2015,LEONCIO PRADO,133433,84670,48763,4.28,15823.36,6781.44,22604.81,309
2015,LIMA,8890792,8876711,14081,26.52,1985892.94,851096.97,2836989.95,310
2015,LORETO,71232,29723,41509,2.81,6369.01,2729.57,9098.6,311
2015,LUCANAS,68003,40529,27474,8.48,5675.52,2432.37,8107.91,312
2015,LUYA,51849,20783,31066,11.45,3976.18,1704.07,5680.24,313
2015,MANU,24097,7673,16424,2.44,1832.73,785.46,2618.19,314
2015,MARAÃ‘Ã“N,32118,4873,27245,1.98,576.64,247.14,823.78,315
2015,MARISCAL CACERES,50608,31021,19587,2.88,6095.36,2612.29,8707.66,316
2015,MARISCAL LUZURIAGA,23754,2933,20821,3.44,458.19,196.36,654.57,317
2015,MARISCAL NIETO,81450,70820,10630,2.4,11126.1,4768.33,15894.45,318
2015,MARISCAL RAMON CASTILLA,72909,21822,51087,2.29,4586.76,1965.75,6552.54,319
2015,MAYNAS,551383,446154,105229,6.61,100930.52,43255.95,144186.49,320
2015,MELGAR,76986,35972,41014,3.41,4886.86,2094.37,6981.21,321
2015,MOHO,25472,7374,18098,1.47,927.79,397.63,1325.4,322
2015,MORROPON,155895,90462,65433,5.25,19088.46,8180.79,27269.24,323
2015,MOYOBAMBA,148160,88275,59885,3.38,17362.38,7441.02,24803.42,324
2015,NASCA  ,58780,51864,6916,2.51,9923.72,4253.03,14176.75,325
2015,OCROS,10802,6262,4540,4.38,991.1,424.74,1415.83,326
2015,OTUZCO,91713,22220,69493,4.44,3979,1705.29,5684.3,327
2015,OXAPAMPA,93201,33813,59388,4.06,5822.33,2495.28,8317.63,328
2015,OYON,22782,14705,8077,2.99,3246.08,1391.17,4637.24,329
