PERIODO,PROVINCIA,N_SEC,UBIGEO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN
2015,CASMA,7966,83210,47478,33266,14212,1.8599999999999999,5660.99,2426.13,8087.12
2015,CASTILLA,31381,565705,38670,22456,16214,5.6499999999999995,2872.33,1231.01,4103.32
2015,CASTROVIRREYNA,35126,1175291,19169,5959,13210,5.59,931.76,399.31,1331.1
2015,CAYLLOMA,45170,810210,94220,62384,31836,8.62,10884.66,4664.84,15549.52
2015,CAÑETE,51096,2408136,233151,195337,37814,7.2299999999999995,32717.41,14021.75,46739.130000000005
2015,CELENDIN,29202,723678,95652,24696,70956,5.04,3038.04,1302.03,4340.09
2015,CHACHAPOYAS,39102,212331,55201,39491,15710,10.83,6812.410000000001,2919.61,9731.98
2015,CHANCHAMAYO,17559,721821,204035,113880,90155,3.31,22856.870000000003,9795.79,32652.66
2015,CHEPEN,9093,391206,87011,70441,16570,1.58,13494.19,5783.21,19277.399999999998
2015,CHICLAYO,61950,2802210,857405,803899,53506,11.49,170498.69999999998,73070.86,243569.51
2015,CHINCHA,31427,1212266,217683,194086,23597,4.67,31331.63,13427.84,44759.49
2015,CHINCHEROS,21655,306055,58682,19447,39235,4.12,2899.7999999999997,1242.76,4142.55
2015,CHOTA,46531,1147790,164714,33469,131245,8.47,5260.01,2254.3199999999997,7514.28
2015,CHUCUITO,24626,1472828,150239,46286,103953,2.6399999999999997,6237.75,2673.32,8911.08
2015,CHUMBIVILCAS,20780,645636,82411,18999,63412,3.4,2725.67,1168.15,3893.84
2015,CHUPACA,27000,1088145,53080,32328,20752,3.8,5634.45,2414.76,8049.21
2015,CHURCAMPA,29854,995566,44582,10318,34264,4.88,1760.3799999999999,754.4599999999999,2514.84
2015,CONCEPCION,43740,1803120,56495,30055,26440,6.13,4601.06,1971.8899999999999,6572.93
2015,CONDESUYOS,18180,324836,17943,6899,11044,3.6,1215.6299999999999,520.98,1736.62
2015,CONDORCANQUI,5676,31206,54949,8232,46717,1.73,1724.18,738.94,2463.11
2015,CONTRALMIRANTE VILLAR,11088,720606,19896,15936,3960,1.17,2023.77,867.33,2891.11
2015,CONTUMAZA,19700,484036,31912,13448,18464,3.42,1892.06,810.8699999999999,2702.93
2015,CORONEL PORTILLO,25935,1750728,377875,319569,58306,4.46,76580.79000000001,32820.34,109401.13
2015,CORONGO,13979,146328,8165,3970,4195,3.01,620.15,265.77,885.92
2015,COTABAMBAS,12945,183021,52766,13988,38778,2.57,2174.87,932.0899999999999,3106.96
2015,CUSCO,20396,640836,450095,427443,22652,4.01,88863.75,38084.47,126948.21
2015,CUTERVO,37110,909120,140633,27710,112923,6.95,6499.860000000001,2785.66,9285.52
2015,DANIEL ALCIDES CARRION,27180,1521636,53647,30666,22981,2.94,3953.55,1694.3799999999999,5647.929999999999
2015,DATEM DEL MARAÑON,20055,964221,64060,16861,47199,3.4799999999999995,3557.13,1524.49,5081.63
2015,DOS DE MAYO,25029,902831,53324,18510,34814,4.1499999999999995,3300.62,1414.55,4715.1900000000005
2015,EL COLLAO,17620,1052515,85080,27030,58050,2.08,4126.25,1768.39,5894.64
