,PERIODO,UBIGEO,REG_NAT,DEPARTAMENTO,PROVINCIA,DISTRITO,garbage_3,garbage_value
159,2018,160403,SELVA,LORETO,MARISCAL RAMON CASTILLA,YAVARI,QRESIDUOS_DOM,703.48
160,2019,160403,SELVA,LORETO,MARISCAL RAMON CASTILLA,YAVARI,QRESIDUOS_DOM,705.55
161,2020,160403,SELVA,LORETO,MARISCAL RAMON CASTILLA,YAVARI,QRESIDUOS_DOM,694.23
162,2021,160403,SELVA,LORETO,MARISCAL RAMON CASTILLA,YAVARI,QRESIDUOS_DOM,382.64
163,2015,61311,SIERRA,CAJAMARCA,SANTA CRUZ,YAUYUCAN,QRESIDUOS_DOM,131.51
164,2016,61311,SIERRA,CAJAMARCA,SANTA CRUZ,YAUYUCAN,QRESIDUOS_DOM,131.69
165,2017,61311,SIERRA,CAJAMARCA,SANTA CRUZ,YAUYUCAN,QRESIDUOS_DOM,131.85
166,2018,61311,SIERRA,CAJAMARCA,SANTA CRUZ,YAUYUCAN,QRESIDUOS_DOM,125.68
167,2019,61311,SIERRA,CAJAMARCA,SANTA CRUZ,YAUYUCAN,QRESIDUOS_DOM,128.6
168,2020,61311,SIERRA,CAJAMARCA,SANTA CRUZ,YAUYUCAN,QRESIDUOS_DOM,124.36
169,2021,61311,SIERRA,CAJAMARCA,SANTA CRUZ,YAUYUCAN,QRESIDUOS_DOM,121.41
170,2014,151001,SIERRA,LIMA,YAUYOS,YAUYOS,QRESIDUOS_DOM,369.21
171,2015,120434,SIERRA,JUNIN,JAUJA,YAUYOS,QRESIDUOS_DOM,1283.21
172,2015,151001,SIERRA,LIMA,YAUYOS,YAUYOS,QRESIDUOS_DOM,199.11
173,2016,120434,SIERRA,JUNIN,JAUJA,YAUYOS,QRESIDUOS_DOM,1285.9
174,2016,151001,SIERRA,LIMA,YAUYOS,YAUYOS,QRESIDUOS_DOM,201.55
175,2017,120434,SIERRA,JUNIN,JAUJA,YAUYOS,QRESIDUOS_DOM,1288.57
176,2017,151001,SIERRA,LIMA,YAUYOS,YAUYOS,QRESIDUOS_DOM,204.04
177,2018,120434,SIERRA,JUNIN,JAUJA,YAUYOS,QRESIDUOS_DOM,1679.73
178,2018,151001,SIERRA,LIMA,YAUYOS,YAUYOS,QRESIDUOS_DOM,196.7
179,2019,120434,SIERRA,JUNIN,JAUJA,YAUYOS,QRESIDUOS_DOM,2069.3
180,2019,151001,SIERRA,LIMA,YAUYOS,YAUYOS,QRESIDUOS_DOM,333.76
181,2020,120434,SIERRA,JUNIN,JAUJA,YAUYOS,QRESIDUOS_DOM,2072.53
182,2020,151001,SIERRA,LIMA,YAUYOS,YAUYOS,QRESIDUOS_DOM,176.4
183,2021,120434,SIERRA,JUNIN,JAUJA,YAUYOS,QRESIDUOS_DOM,2038.04
184,2021,151001,SIERRA,LIMA,YAUYOS,YAUYOS,QRESIDUOS_DOM,170.49
185,2014,20703,SIERRA,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,QRESIDUOS_DOM,97.42
186,2015,20703,SIERRA,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,QRESIDUOS_DOM,92.91
187,2016,20703,SIERRA,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,QRESIDUOS_DOM,93.26
188,2017,20703,SIERRA,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,QRESIDUOS_DOM,93.58
189,2018,20703,SIERRA,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,QRESIDUOS_DOM,136.07
190,2019,20703,SIERRA,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,QRESIDUOS_DOM,138.34
191,2020,20703,SIERRA,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,QRESIDUOS_DOM,132.49
192,2021,20703,SIERRA,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,QRESIDUOS_DOM,127.68
193,2014,20804,COSTA,ANCASH,CASMA,YAUTAN,QRESIDUOS_DOM,471.73
194,2015,20804,COSTA,ANCASH,CASMA,YAUTAN,QRESIDUOS_DOM,475.76
195,2016,20804,COSTA,ANCASH,CASMA,YAUTAN,QRESIDUOS_DOM,564.1
196,2017,20804,COSTA,ANCASH,CASMA,YAUTAN,QRESIDUOS_DOM,567.58
197,2018,20804,COSTA,ANCASH,CASMA,YAUTAN,QRESIDUOS_DOM,567.95
198,2019,20804,COSTA,ANCASH,CASMA,YAUTAN,QRESIDUOS_DOM,611.49
199,2020,20804,COSTA,ANCASH,CASMA,YAUTAN,QRESIDUOS_DOM,601.9
200,2021,20804,COSTA,ANCASH,CASMA,YAUTAN,QRESIDUOS_DOM,381.35
201,2015,81009,SIERRA,CUSCO,PARURO,YAURISQUE,QRESIDUOS_DOM,72.97
202,2016,81009,SIERRA,CUSCO,PARURO,YAURISQUE,QRESIDUOS_DOM,73.58
203,2017,81009,SIERRA,CUSCO,PARURO,YAURISQUE,QRESIDUOS_DOM,74.05
204,2018,81009,SIERRA,CUSCO,PARURO,YAURISQUE,QRESIDUOS_DOM,85.36
205,2019,81009,SIERRA,CUSCO,PARURO,YAURISQUE,QRESIDUOS_DOM,85.31
206,2020,81009,SIERRA,CUSCO,PARURO,YAURISQUE,QRESIDUOS_DOM,80.99
207,2021,81009,SIERRA,CUSCO,PARURO,YAURISQUE,QRESIDUOS_DOM,78.69
208,2015,90117,SIERRA,HUANCAVELICA,HUANCAVELICA,YAULI,QRESIDUOS_DOM,1030.97
209,2015,120433,SIERRA,JUNIN,JAUJA,YAULI,QRESIDUOS_DOM,184.27
210,2015,120810,SIERRA,JUNIN,YAULI,YAULI,QRESIDUOS_DOM,478.78
211,2016,90117,SIERRA,HUANCAVELICA,HUANCAVELICA,YAULI,QRESIDUOS_DOM,439.93
212,2016,120433,SIERRA,JUNIN,JAUJA,YAULI,QRESIDUOS_DOM,180.47
213,2016,120810,SIERRA,JUNIN,YAULI,YAULI,QRESIDUOS_DOM,455.48
214,2017,90117,SIERRA,HUANCAVELICA,HUANCAVELICA,YAULI,QRESIDUOS_DOM,445.62
215,2017,120433,SIERRA,JUNIN,JAUJA,YAULI,QRESIDUOS_DOM,176.52
216,2017,120810,SIERRA,JUNIN,YAULI,YAULI,QRESIDUOS_DOM,449.37
217,2018,90117,SIERRA,HUANCAVELICA,HUANCAVELICA,YAULI,QRESIDUOS_DOM,845.55
218,2018,120433,SIERRA,JUNIN,JAUJA,YAULI,QRESIDUOS_DOM,160.35
219,2018,120810,SIERRA,JUNIN,YAULI,YAULI,QRESIDUOS_DOM,488.84
220,2019,90117,SIERRA,HUANCAVELICA,HUANCAVELICA,YAULI,QRESIDUOS_DOM,914.7
221,2019,120433,SIERRA,JUNIN,JAUJA,YAULI,QRESIDUOS_DOM,145.63
222,2019,120810,SIERRA,JUNIN,YAULI,YAULI,QRESIDUOS_DOM,494.49
223,2020,90117,SIERRA,HUANCAVELICA,HUANCAVELICA,YAULI,QRESIDUOS_DOM,827.9
224,2020,120433,SIERRA,JUNIN,JAUJA,YAULI,QRESIDUOS_DOM,139.42
225,2020,120810,SIERRA,JUNIN,YAULI,YAULI,QRESIDUOS_DOM,728.61
226,2021,90117,SIERRA,HUANCAVELICA,HUANCAVELICA,YAULI,QRESIDUOS_DOM,882.7
227,2021,120433,SIERRA,JUNIN,JAUJA,YAULI,QRESIDUOS_DOM,140.36
228,2021,120810,SIERRA,JUNIN,YAULI,YAULI,QRESIDUOS_DOM,718.59
229,2015,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,QRESIDUOS_DOM,16.55
230,2016,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,QRESIDUOS_DOM,16.4
231,2017,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,QRESIDUOS_DOM,16.25
232,2018,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,QRESIDUOS_DOM,15.31
233,2019,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,QRESIDUOS_DOM,16.29
234,2020,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,QRESIDUOS_DOM,16.26
235,2021,110114,SIERRA,ICA,ICA,YAUCA DEL ROSARIO,QRESIDUOS_DOM,16.38
236,2014,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,QRESIDUOS_DOM,229.68
237,2015,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,QRESIDUOS_DOM,131.63
238,2016,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,QRESIDUOS_DOM,129.49
239,2017,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,QRESIDUOS_DOM,128.02
240,2018,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,QRESIDUOS_DOM,291.75
241,2019,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,QRESIDUOS_DOM,200.43
242,2020,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,QRESIDUOS_DOM,200.55
243,2021,40313,COSTA,AREQUIPA,CARAVELI,YAUCA,QRESIDUOS_DOM,201.99
244,2015,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,QRESIDUOS_DOM,127.31
245,2016,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,QRESIDUOS_DOM,127.79
246,2017,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,QRESIDUOS_DOM,128.88
247,2018,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,QRESIDUOS_DOM,48.4
248,2019,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,QRESIDUOS_DOM,44.8
249,2020,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,QRESIDUOS_DOM,40.36
250,2021,100110,SIERRA,HUANUCO,HUANUCO,YARUMAYO,QRESIDUOS_DOM,38.22
251,2014,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,QRESIDUOS_DOM,23703.77
252,2015,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,QRESIDUOS_DOM,23973.99
253,2016,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,QRESIDUOS_DOM,23921.61
254,2017,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,QRESIDUOS_DOM,24187.27
255,2018,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,QRESIDUOS_DOM,21494.95
256,2019,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,QRESIDUOS_DOM,24827.83
257,2020,250105,SELVA,UCAYALI,CORONEL PORTILLO,YARINACOCHA,QRESIDUOS_DOM,25442.46
